cohort,unit,unit_type,genotype,stage,injury,independence,seed,group,n_cells,module,kind,n_genes,total_genes,coverage,score,interpretable,label_overlap
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.07301590207908012,True,Cldn4;Slc4a11
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.07454311829827347,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.07066142949026526,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.2520313454736832,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.2898198195303898,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.2779609292396857,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.061778860091610134,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.09823646222296,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.0642294489547428,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,5749,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.09576909560136458,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.1,False,Cldn4;Slc4a11
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.0913978494623656,False,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.08042635658914728,False,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.2782051282051282,False,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.25857519788918204,False,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.30999127399650955,False,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.125,False,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.1065989847715736,False,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06887755102040816,False,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,12,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.10629251700680271,False,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.07301532033426184,True,Cldn4;Slc4a11
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.07453874262437477,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.07058528211440046,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.2519467359474323,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.2897455001800663,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.2782083558167685,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.0634575208913649,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.09850137154815264,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06430578847137741,True,
GSE310539,wildtype_PBS,pooled_library,wildtype,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,5744,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.09570767722130635,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.11869328493647915,True,Cldn4;Slc4a11
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.11049314052651095,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.09983961507618284,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.36675508399646334,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.26034937676280595,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.31187940061382924,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.26149425287356326,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11447575704533519,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.07705840957072485,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,58,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.12192118226600984,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.07215528630630426,True,Cldn4;Slc4a11
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.07353168478774917,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.06751221167231305,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.3067477541410174,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3181086645544146,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.27505782077189467,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.12300650790245297,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.09704786559168477,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06802210264067009,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,4661,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.10566402059643855,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.12631578947368421,True,Cldn4;Slc4a11
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.1180804460374353,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.10809646856158484,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.3736942070275404,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.25569236782957094,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.31864456079115766,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.29012345679012347,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.11712727956382778,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.0743575207860922,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,54,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.1287792894935752,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.07130992145887875,True,Cldn4;Slc4a11
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.07270744572935688,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.06677569907056523,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.30652955535031007,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.31837133469408074,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.27498529451384335,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.12178387650085763,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.0970376836074566,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06817306682535793,True,
GSE310539,wildtype_SeV,pooled_library,wildtype,adult,SeV,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,4664,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.10496048762558197,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.09665071770334929,False,Cldn4;Slc4a11
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.08797653958944282,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.08668076109936573,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.2927738927738927,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.3197409450707603,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.28153260352213233,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.12121212121212122,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.10059990770650669,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06539888682745824,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,two_marker,11,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.10018552875695733,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.07147233971670446,True,Cldn4;Slc4a11
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.07297170172502433,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.06850699619631935,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.2706019424228987,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.370053441486806,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.27832548318505934,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.04029614558607437,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.0973452241403349,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.06566275204554525,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",17,reference,8847,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.09984013951460544,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.10850202429149797,False,Cldn4;Slc4a11
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.1000827129859388,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.09570661896243293,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.30236686390532547,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.2944996955551045,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,AT1_published_holdout,complete_published_list_minus_labels_and_Cebpa,382,399,0.9573934837092731,0.2885622231171969,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,DATP_PATS_holdout_panel,repository_combined_marker_panel,6,6,1.0,0.12820512820512822,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,HALLMARK_HYPOXIA,complete_MSigDB_Hallmark_module,197,199,0.9899497487437185,0.1116751269035533,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,HALLMARK_INFLAMMATORY_RESPONSE,complete_MSigDB_Hallmark_module,196,197,0.9949238578680203,0.07103610675039247,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,two_marker,13,HALLMARK_P53_PATHWAY,complete_MSigDB_Hallmark_module,196,200,0.98,0.11773940345368916,False,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,8846,HPCS_author_top100,author_notebook_top100_marker_signature,95,100,0.95,0.07145900020229184,True,Cldn4;Slc4a11
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,8846,HPCS_excluding_operational_markers,source_signature_minus_label_genes,93,98,0.9489795918367347,0.07295563999523508,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,8846,HPCS_without_ADI_or_operational_markers,source_signature_minus_ADI400_and_labels,86,91,0.945054945054945,0.06848845096193786,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,8846,ADI_published_holdout,complete_published_list_minus_labels_and_Cebpa,390,398,0.9798994974874372,0.2706487649060563,True,
GSE310539,AP1mut_PBS,pooled_library,AP1mut,adult,uninjured,"pooled well, not replicated animals; new HPCS scoring, original ES1 files unchanged",29,reference,8846,AT2_published_holdout,complete_published_list_minus_labels_and_Cebpa,379,398,0.9522613065326633,0.37008901061076155,True,
