gene	module	in_D	in_I	in_L	core_all_three	in_AT1_published_400	in_AT2_published_400	in_HALLMARK_P53_PATHWAY	in_HALLMARK_HYPOXIA	in_HALLMARK_INFLAMMATORY_RESPONSE
Rpl31	injury_residual	False	True	False	False	False	False	False	False	False
Rpl32	injury_residual	False	True	False	False	False	False	False	False	False
Rpl34	injury_residual	False	True	False	False	False	False	False	False	False
Rpl35	injury_residual	False	True	False	False	False	False	False	False	False
Rpl35a	injury_residual	False	True	False	False	False	False	False	False	False
Rpl36	injury_residual	False	True	False	False	False	False	True	False	False
Rpl36a	injury_residual	False	True	False	False	False	False	False	False	False
Rpl37	injury_residual	False	True	False	False	False	False	False	False	False
Rpl37a	injury_residual	False	True	False	False	False	False	False	False	False
Rpl38	injury_residual	False	True	False	False	False	False	False	False	False
Rpl39	injury_residual	False	True	False	False	False	False	False	False	False
Rpl4	injury_residual	False	True	False	False	False	False	False	False	False
Rpl41	injury_residual	False	True	False	False	False	False	False	False	False
Rpl5	injury_residual	False	True	False	False	False	True	False	False	False
Rpl6	injury_residual	False	True	False	False	False	False	False	False	False
Rpl7	injury_residual	False	True	False	False	False	False	False	False	False
Rpl7a	injury_residual	False	True	False	False	False	False	False	False	False
Rpl8	injury_residual	False	True	False	False	False	False	False	False	False
Rpl9	injury_residual	False	True	False	False	False	False	False	False	False
Rplp0	injury_residual	False	True	False	False	False	False	False	False	False
Rplp1	injury_residual	False	True	False	False	False	False	False	False	False
Rplp2	injury_residual	False	True	False	False	False	False	False	False	False
Rps10	injury_residual	False	True	False	False	False	False	False	False	False
Rps11	injury_residual	False	True	False	False	False	False	False	False	False
Rps12	injury_residual	False	True	False	False	False	False	True	False	False
Rps13	injury_residual	False	True	False	False	False	False	False	False	False
Rps14	injury_residual	False	True	False	False	False	False	False	False	False
Rps15	injury_residual	False	True	False	False	False	False	False	False	False
Rps15a	injury_residual	False	True	False	False	False	False	False	False	False
Rps16	injury_residual	False	True	False	False	False	False	False	False	False
Rps17	injury_residual	False	True	False	False	False	False	False	False	False
Rps18	injury_residual	False	True	False	False	False	False	False	False	False
Rps19	injury_residual	False	True	False	False	True	True	False	False	False
Rps2	injury_residual	False	True	False	False	False	False	False	False	False
Rps20	injury_residual	False	True	False	False	False	False	False	False	False
Rps21	injury_residual	False	True	False	False	False	False	False	False	False
Rps23	injury_residual	False	True	False	False	False	False	False	False	False
Rps24	injury_residual	False	True	False	False	False	False	False	False	False
Rps25	injury_residual	False	True	False	False	False	False	False	False	False
Rps26	injury_residual	False	True	False	False	False	False	False	False	False
Rps27	injury_residual	False	True	False	False	False	False	False	False	False
Rps27a	injury_residual	False	True	False	False	False	False	False	False	False
Rps27l	injury_residual	False	True	False	False	True	False	True	False	False
Rps28	injury_residual	False	True	False	False	False	False	False	False	False
Rps29	injury_residual	False	True	False	False	False	False	False	False	False
Rps3	injury_residual	False	True	False	False	True	False	False	False	False
Rps3a1	injury_residual	False	True	False	False	False	False	False	False	False
Rps4x	injury_residual	False	True	False	False	False	False	False	False	False
Rps5	injury_residual	False	True	False	False	False	False	False	False	False
Rps6	injury_residual	False	True	False	False	False	False	False	False	False
Rps7	injury_residual	False	True	False	False	False	False	False	False	False
Rps8	injury_residual	False	True	False	False	False	False	False	False	False
Rps9	injury_residual	False	True	False	False	False	False	False	False	False
Rpsa	injury_residual	False	True	False	False	False	False	False	False	False
Rsl1d1	injury_residual	False	True	False	False	False	False	False	False	False
Rtn4	injury_residual	False	True	False	False	True	False	False	False	False
S100a10	injury_residual	False	True	False	False	True	False	True	False	False
S100a11	injury_residual	False	True	False	False	True	False	False	False	False
S100a6	injury_residual	False	True	False	False	True	False	False	False	False
Sat1	injury_residual	False	True	False	False	False	False	True	False	False
Sbds	injury_residual	False	True	False	False	True	False	False	False	False
Sdc4	injury_residual	False	True	False	False	False	True	False	True	False
Sdcbp	injury_residual	False	True	False	False	False	False	False	False	False
Serbp1	injury_residual	False	True	False	False	True	False	False	False	False
Serinc1	injury_residual	False	True	False	False	True	False	False	False	False
Serpinb6a	injury_residual	False	True	False	False	False	False	False	False	False
Serpinb9	injury_residual	False	True	False	False	True	False	False	False	False
Sfn	injury_residual	False	True	False	False	False	False	True	False	False
Skp1a	injury_residual	False	True	False	False	True	False	False	False	False
Slc25a3	injury_residual	False	True	False	False	False	False	False	False	False
Snx6	injury_residual	False	True	False	False	True	False	False	False	False
Sparc	injury_residual	False	True	False	False	True	True	False	False	False
Sprr1a	injury_residual	False	True	False	False	False	False	False	False	False
Sqstm1	injury_residual	False	True	False	False	False	False	False	False	False
Sra1	injury_residual	False	True	False	False	False	False	False	False	False
St13	injury_residual	False	True	False	False	False	False	False	False	False
Tacstd2	injury_residual	False	True	False	False	False	False	False	False	False
Tagln2	injury_residual	False	True	False	False	False	False	False	False	False
Taldo1	injury_residual	False	True	False	False	False	False	False	False	False
Tax1bp1	injury_residual	False	True	False	False	True	False	False	False	False
Tbrg1	injury_residual	False	True	False	False	False	False	False	False	False
Tceb1	injury_residual	False	True	False	False	False	False	False	False	False
Tceb2	injury_residual	False	True	False	False	True	False	False	False	False
Tcp1	injury_residual	False	True	False	False	False	False	False	False	False
Tes	injury_residual	False	True	False	False	False	False	False	True	False
Timm17a	injury_residual	False	True	False	False	False	False	False	False	False
Timp2	injury_residual	False	True	False	False	True	False	False	False	False
Tinagl1	injury_residual	False	True	False	False	True	False	False	False	False
Tjp2	injury_residual	False	True	False	False	True	False	False	False	False
Tmbim4	injury_residual	False	True	False	False	False	False	False	False	False
Tmsb10	injury_residual	False	True	False	False	True	False	False	False	False
Tnfrsf12a	injury_residual	False	True	False	False	True	False	False	False	False
Tnip3	injury_residual	False	True	False	False	False	False	False	False	False
Tpd52	injury_residual	False	True	False	False	False	False	False	True	False
Tpd52l2	injury_residual	False	True	False	False	False	False	False	False	False
Tpm1	injury_residual	False	True	False	False	True	True	False	False	False
Tpm2	injury_residual	False	True	False	False	False	False	False	False	False
Tpm3	injury_residual	False	True	False	False	True	False	False	False	False
Tpm4	injury_residual	False	True	False	False	True	False	False	False	False
Tpt1	injury_residual	False	True	False	False	False	False	False	False	False
Trp53	injury_residual	False	True	False	False	False	False	True	False	False
Tsg101	injury_residual	False	True	False	False	False	False	False	False	False
Tspan8	injury_residual	False	True	False	False	True	False	False	False	False
Tspo	injury_residual	False	True	False	False	True	False	False	False	False
Tuba1c	injury_residual	False	True	False	False	False	False	False	False	False
Tuft1	injury_residual	False	True	False	False	False	False	False	False	False
Txn1	injury_residual	False	True	False	False	False	False	False	False	False
Txndc17	injury_residual	False	True	False	False	False	False	False	False	False
Txnl1	injury_residual	False	True	False	False	False	False	False	False	False
Txnrd1	injury_residual	False	True	False	False	False	False	False	False	False
Uba52	injury_residual	False	True	False	False	False	False	False	False	False
Ubb	injury_residual	False	True	False	False	True	False	False	False	False
Ubc	injury_residual	False	True	False	False	False	False	False	False	False
Ube2b	injury_residual	False	True	False	False	False	False	False	False	False
Ube2d3	injury_residual	False	True	False	False	False	False	False	False	False
Ube2k	injury_residual	False	True	False	False	False	False	False	False	False
Ubxn1	injury_residual	False	True	False	False	False	False	False	False	False
Ubxn4	injury_residual	False	True	False	False	True	False	False	False	False
Uqcrb	injury_residual	False	True	False	False	False	False	False	False	False
Uqcrq	injury_residual	False	True	False	False	False	False	False	False	False
Usmg5	injury_residual	False	True	False	False	False	False	False	False	False
Vmp1	injury_residual	False	True	False	False	False	False	False	False	False
Ybx1	injury_residual	False	True	False	False	False	False	False	False	False
Ywhab	injury_residual	False	True	False	False	False	False	False	False	False
Ywhah	injury_residual	False	True	False	False	True	False	False	False	False
